,Experiment,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,NWChem,PySCF,w06-2x+def2-TZVPP,wB97x+def2-TZVPP(partial)
PAPBSGBWRJIAAV-UHFFFAOYSA-N,6.683,0.18840379,0.078003703,0.078003703,0.13431567,0.12025095,0.12022034,0.12829216,0.17926572,0.17200692,0.0567643,0.05905213,0.05905175,0.04765186,0.06881579,0.06175232,0.076945,0.078010996,0.078506,
PAYRUJLWNCNPSJ-UHFFFAOYSA-N,4.508,0.13586538,0.052717418,0.052717418,0.12942028,0.060498968,0.060667638,0.11051038,0.13732842,0.14006792,0.04083831,0.03918947,0.03918906,0.0366485,0.04474399,0.04482324,0.040519,,0.037744,
PBMFSQRYOILNGV-UHFFFAOYSA-N,6.728,0.14885712,0.073562769,0.073562769,0.10236361,0.071404435,0.0714048,0.079535894,0.119117126,0.12702273,0.03831112,0.04569483,0.04569553,0.04954086,0.04787993,0.04967645,0.075752,,0.073709,
PCNDJXKNXGMECE-UHFFFAOYSA-N,5.995,0.11659798,0.056817242,0.056817242,0.1200055,0.08217782,0.08217765,0.09765452,0.11875917,0.13253203,0.03441041,0.02967911,0.02968071,0.02950732,0.03631187,0.03880001,0.057555,0.060525667,0.054818,
PDLCCNYKIIUWHA-UHFFFAOYSA-N,5.75,0.16049503,0.067756183,0.067756183,0.11172263,0.09891499,0.098914854,0.10469677,0.16063184,0.15089576,0.04584055,0.0402336,0.04023417,0.03656105,0.05022,0.0518034,0.066989,0.075725397,0.067768,
PDQRQJVPEFGVRK-UHFFFAOYSA-N,4.223,0.12454333,0.049265141,0.049265141,0.12818018,0.105771266,0.0907183,0.093697935,0.10045086,0.12472037,0.02899766,,0.03209701,0.03323268,,,0.053047,0.065582742,0.049593,
PERWAYOEWJEJNO-UHFFFAOYSA-N,7.883,0.19061449,0.070414923,0.070414923,0.11686154,0.12126019,0.08941625,0.1360985,0.19534016,0.17876688,0.04354842,,0.03434433,0.04752011,,,0.066175,0.068787149,0.063143,
PFCHFHIRKBAQGU-UHFFFAOYSA-N,5.572,0.16154741,0.066378356,0.066378356,0.10790145,0.09263433,0.09266388,0.10457436,0.16063312,0.15542433,0.03211993,0.03782277,0.03782332,0.03098045,0.04659007,0.04248467,0.063111,0.077073699,0.065055,
PFEGFUCYOHBDJF-UHFFFAOYSA-N,5.3,0.15495142,0.064877997,0.064877997,0.09381638,0.08606215,0.086604655,0.09471368,0.14294887,0.13527383,,,,,,,0.064434,0.079784024,0.063972,
PFYPDUUXDADWKC-UHFFFAOYSA-N,6.972,0.12504707,0.060710679,0.060710679,0.12566437,0.07533635,0.07547305,0.099077135,0.13438894,0.14403106,0.04566018,0.03768121,0.03765948,0.0395934,0.04428786,0.04993686,0.068217,0.054615086,0.066015,
PHWISQNXPLXQRU-UHFFFAOYSA-N,4.173,0.14120093,0.051316783,0.051316783,0.07414306,0.06266486,0.05680087,0.09500529,0.14875828,0.12348385,0.04343392,,0.03428868,0.04809586,,,0.056012,0.051470005,0.053535,
