,Experiment,NWChem,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,w06-2x+def2-TZVPP
UHGULLIUJBCTEF-UHFFFAOYSA-N,3.1,0.094959,0.166702610,0.077227253,0.077227253,0.096702860,0.084390370,0.071984620,0.073477656,0.119511165,0.137392610,0.038674800,,0.030855040,0.030129610,,,0.097274000
UIZVATMSLGDSAW-UHFFFAOYSA-N,,0.058395,,0.048446454,0.048446454,0.120395824,0.076019526,0.065809384,0.135407250,0.084052786,0.068352700,0.056444520,,0.025608110,0.205611200,,,
UJOBWOGCFQCDNV-UHFFFAOYSA-N,3.3,0.090152,0.149144290,0.072026731,0.072026731,0.100488590,0.080703220,0.080674500,0.066755710,0.105552180,0.113891080,0.040105300,0.034769870,0.034804780,0.025690330,0.042210540,0.044860990,0.095952000
UMURLIQHQSKULR-UHFFFAOYSA-N,4.1,0.091359,0.157940630,0.063849222,,0.100560606,0.086068615,0.078588260,0.085866930,0.129326640,0.129895420,0.035882490,,0.031148860,0.036567810,,,0.093994000
UOCLXMDMGBRAIB-UHFFFAOYSA-N,1.4,0.042433,0.080678396,0.037839359,0.037839359,0.058677696,0.058096007,0.064454250,0.029447282,0.086543270,0.085312340,0.014055980,,0.016215720,0.011392950,,,0.043699000
UQXAGNCUOPPUJH-UHFFFAOYSA-N,,0.099454,0.176378890,0.082682931,0.082682931,0.112518980,0.093064755,0.093702090,0.095515640,0.123473990,0.135586460,0.045788380,0.041594360,0.042101380,0.044123610,0.050384250,0.053589810,
VEDXNNRTYCLCMP-UHFFFAOYSA-N,,0.107682,0.182129820,0.089224087,0.089224087,0.117050470,0.105788870,0.105694980,0.101756215,0.140731070,0.150626530,0.046020060,,0.046184980,0.052159360,,,0.114752000
VLFTYFLZHORIBC-UHFFFAOYSA-N,4.5,0.111794,0.173158380,0.089229235,0.089229235,0.156857520,0.139625970,0.138582050,0.202166170,0.155754420,0.167548340,0.058156870,0.060464450,0.059571420,0.059449900,0.056199430,0.059160440,0.119844000
VLJSLTNSFSOYQR-UHFFFAOYSA-N,3.7,0.099885,0.174458800,0.092881734,0.092881734,0.078564240,0.067662790,0.067730400,0.073750000,0.110810580,0.114220340,0.035970730,0.034589980,0.034592160,0.034245210,0.039884400,0.039513290,0.102529000
VLVCWODDMDGANW-UHFFFAOYSA-N,,0.084445,0.168090970,0.067848408,,0.170115190,0.136910270,0.117655784,0.170651810,0.154029500,0.161554860,0.033295950,,0.035913540,0.043899300,,,
VMIQGOWIVBBNEA-UHFFFAOYSA-N,,0.044575,,,,,,,,,,,,,,,,0.044981000
VPOMSPZBQMDLTM-UHFFFAOYSA-N,4.5,0.118869,0.199799420,0.105169793,0.105169793,0.102898860,0.090101860,0.097149510,0.084564920,0.147181390,0.151146550,0.036771220,,0.040504380,0.031972850,,,0.118985000
WDFQBORIUYODSI-UHFFFAOYSA-N,2.6,0.084383,,0.072676301,0.072676301,0.092897960,0.051223470,0.051864800,0.052424960,0.101237170,0.115704640,0.035454450,,0.026885130,0.028529630,,,0.087592000
WDNBURPWRNALGP-UHFFFAOYSA-N,4.4,0.116814,0.198362190,0.103277766,0.103277766,0.101218680,0.089903020,0.095772505,0.082435470,0.141559420,0.145763440,0.036537840,,0.040227080,0.031710620,,,0.117208000
